id,name_x,popularity,explicit,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,release_date1,genres
3rcerSJNOkfgB9CELqcRHL,Capítulo 1.5 - Banquero Anarquista,0,0,Fernando Pessoa,0.77,0.16,9,-24.52,0,0.96,0.59,0,0.13,0.49,52.03,4,1.8,6/1/1922,['unknown']
41UwGhrmaTNXguHZjRkZbC,Capítulo 2.2 - Banquero Anarquista,0,0,Fernando Pessoa,0.65,0.26,9,-23.14,0,0.96,0.76,0,0.23,0.66,162.7,3,1.61,6/1/1922,['unknown']
41sGC22d62AApd4dbiwhfr,Capítulo 2.11 - Banquero Anarquista,0,0,Fernando Pessoa,0.78,0.18,1,-23.25,0,0.96,0.68,0,0.63,0.79,58.55,4,1.82,6/1/1922,['unknown']
42lF2Ke3RUCoptNImf3SBj,I Ought To Know More About You,0,0,Dick Haymes,0.61,0.25,9,-9.94,0,0.04,0.99,0,0.22,0.56,132.16,4,3.09,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
450NWyAOOQ4cOPrp7ZRp13,Pobre Madrecita - Remasterizado,0,0,Ignacio Corsini,0.53,0.15,9,-22.26,1,0.07,1,0.89,0.11,0.55,69.45,4,3.05,3/29/1922,"['tango', 'vintage tango']"
45QQGQZMPaVxlg0edajDgk,Primera Ilusión - Remasterizado,0,0,Ignacio Corsini,0.39,0.2,8,-26.17,1,0.05,0.99,0.92,0.11,0.83,181.1,3,2.67,3/21/1922,"['tango', 'vintage tango']"
45u40aoKGpIanpGW3ZTqMU,Capítulo 1.1 - Banquero Anarquista,0,0,Fernando Pessoa,0.63,0.24,9,-21.09,0,0.96,0.48,0,0.15,0.63,169.96,4,1.9,6/1/1922,['unknown']
46NvxfK2FwCMpMsRTBFkjR,Soft Lights And Sweet Music,0,0,Dick Haymes,0.33,0.32,7,-12.78,1,0.03,0.98,0.04,0.36,0.15,125.65,3,2.85,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
4BKzNMRJdoDE6nsC4DbOEh,Chapter 1.4 - Szkolne Przygody Pimpusia Sadełko,0,0,Maria Konopnicka,0.7,0.22,5,-19.76,0,0.96,0.6,0,0.34,0.39,103.31,3,2.68,1/6/1922,['unknown']
4CjnVzvSu86vqI5gY8SjPx,Elle Vendait Des P'Tits Gateaux,0,0,Félix Mayol,0.72,0.3,5,-14.07,1,0.1,0.99,0,0.28,0.97,129.15,4,2.53,1/1/1922,['vintage chanson']
4DE7VBCgyTjqV0Plc9Ra0U,Hush-A-Bye (Wee Rose Of Kilarney),0,0,"Dick Haymes, Victor Young, His Orchestra",0.28,0.13,0,-19.79,1,0.04,0.99,0.61,0.12,0.14,79.12,5,2.61,1/1/1922,['unknown']
4FCWuuqM851ACz8p1b41fi,Capítulo 2.23 - Banquero Anarquista,0,0,Fernando Pessoa,0.71,0.22,9,-21.18,0,0.95,0.52,0,0.22,0.54,110.82,3,1.62,6/1/1922,['unknown']
4RR5RKLA2vTQxkWrMIeHem,Cap Polonio - Remasterizado,0,0,Ignacio Corsini,0.54,0.16,3,-21.25,1,0.09,1,0.91,0.13,0.71,143.1,4,2.68,3/21/1922,"['tango', 'vintage tango']"
4UnGZFw9ot80NLBBBFImny,Chapter 1.3 - Szkolne Przygody Pimpusia Sadełko,0,0,Maria Konopnicka,0.62,0.21,1,-19.02,1,0.96,0.76,0,0.15,0.38,74.43,3,5.18,1/6/1922,['unknown']
4Vw0vSS31VCTYZXML5mMNX,Serenade Of The Bells,0,0,Dick Haymes,0.27,0.26,0,-9.04,1,0.05,0.98,0,0.18,0.15,79.19,4,3.02,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
4iy1fsAHBgR2STJjPDhjY2,Mes Parents Sont Venus Me Chercher,0,0,Fortugé,0.55,0.2,7,-14.76,1,0.06,1,0,0.15,0.62,97.34,4,3.06,1/1/1922,['vintage chanson']
4jhUNBqlFI21O7L0sKl507,As If I Didn'T Have Enough On My Mind,0,0,Dick Haymes,0.32,0.25,0,-15.79,1,0.05,0.99,0.85,0.42,0.31,84.28,4,2.47,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
4m7uJS9VZlVnUG8oI1o0wx,Capítulo 2.22 - Banquero Anarquista,0,0,Fernando Pessoa,0.68,0.31,0,-20.42,1,0.96,0.33,0,0.6,0.49,74.91,5,1.68,6/1/1922,['unknown']
4sAPfFxCxKIF571z6JwL4r,De Mil Amores - Remasterizado,0,0,Ignacio Corsini,0.44,0.18,9,-19.63,1,0.06,0.99,0,0.49,0.56,128.4,4,2.91,3/29/1922,"['tango', 'vintage tango']"
4vRhdBugLI9JQGsx3UfrAt,Cachonguita - Remasterizado,0,0,Ignacio Corsini,0.45,0.05,1,-29.36,0,0.06,1,0.93,0.16,0.41,72.4,5,3.18,3/21/1922,"['tango', 'vintage tango']"
4vV7uBcF2AnjNTOejBS5oL,L'Enfer,0,0,Uli,0.66,0.32,10,-14.32,0,0.25,0.2,0.86,0.09,0.1,81.94,5,0.67,2/22/1922,['unknown']
4xDAzKsPZg7kMOhsnXHOO7,Metejón - Remasterizado,0,0,Ignacio Corsini,0.49,0.08,4,-25.84,1,0.06,1,0.91,0.17,0.68,75.31,5,2.59,3/29/1922,"['tango', 'vintage tango']"
4yTwNqT53nEaIMMxDsnNr3,When A Gypsy Makes A Violin Cry,0,0,Dick Haymes,0.31,0.34,0,-10.75,0,0.04,0.96,0,0.37,0.11,82.51,5,3.01,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
4yfqwU24XlVWLJTaBD3qQW,Capítulo 1.17 - Banquero Anarquista,0,0,Fernando Pessoa,0.74,0.22,2,-26.03,0,0.96,0.65,0,0.46,0.49,80.64,3,1.58,6/1/1922,['unknown']
553V3FZf6yTv89rweIPLHs,Capítulo 1.3 - Banquero Anarquista,0,0,Fernando Pessoa,0.72,0.22,1,-23.01,1,0.93,0.53,0,0.14,0.6,119.52,3,1.64,6/1/1922,['unknown']
56GdrUlLtRUtcF4afPH40o,Remembranza - Remasterizado,0,0,Ignacio Corsini,0.53,0.05,3,-24.86,0,0.09,1,0.94,0.1,0.42,129.6,4,2.74,3/29/1922,"['tango', 'vintage tango']"
598LlBn6jpEpVbLjmZPsYV,Graphite,0,0,Uli,0.64,0.68,7,-8.25,1,0.2,0.14,0.8,0.08,0.14,100.03,4,1.74,2/22/1922,['unknown']
5CHSAhLggPpOYK5mpw8upO,Capítulo 2.24 - Banquero Anarquista,0,0,Fernando Pessoa,0.63,0.22,0,-22.67,1,0.96,0.52,0,0.15,0.6,167.27,3,1.64,6/1/1922,['unknown']
5IlNHZg8dNQTT6hCZ0Ax28,Capítulo 1.24 - Banquero Anarquista,0,0,Fernando Pessoa,0.62,0.19,5,-24.17,1,0.96,0.84,0,0.14,0.73,176.48,3,1.65,6/1/1922,['unknown']
5P35CyOEQiMqf8Hd6Pty5p,Méfiez Vous D'Anatole,0,0,Georgius,0.62,0.35,10,-15.92,1,0.31,0.98,0,0.1,0.81,81.57,4,3.22,1/1/1922,['vintage chanson']
5PJCXNLtJSB3XerASHg7eA,Ensueño De Oro - Remasterizado,0,0,Ignacio Corsini,0.43,0.16,1,-26.68,0,0.12,1,0.95,0.2,0.56,96.58,4,2.52,3/29/1922,"['tango', 'vintage tango']"
5SB8vVP2D73dMsDreQaY73,Hush Little Darlin',0,0,Dick Haymes,0.33,0.2,10,-16.49,1,0.04,0.98,0.52,0.11,0.31,79.88,5,3.26,1/1/1922,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']"
5WQcloalnv2qA55iMcsxve,Capítulo 2.5 - Banquero Anarquista,0,0,Fernando Pessoa,0.71,0.2,5,-22.02,1,0.96,0.5,0,0.25,0.59,88.31,4,1.81,6/1/1922,['unknown']
5ZQdHBQwtS0iKSyRmFg7hB,Capítulo 1.26 & Capítulo 2.1 - Banquero Anarquista,0,0,Fernando Pessoa,0.66,0.22,2,-23.33,0,0.97,0.86,0,0.24,0.69,86.89,3,1.96,6/1/1922,['unknown']
